player_id,timestamp,type,amount_amd,game_type,outcome,session_id
P00002,2025-01-22 23:33:22,bet,2000,sports_other,loss,P00002_S3
P00002,2025-02-09 12:53:19,bet,1900,sports_other,loss,P00002_S4
P00004,2025-03-23 20:20:00,bet,1300,sports_other,win,P00004_S1
P00004,2025-03-23 21:04:10,bet,1000,sports_other,win,P00004_S1
P00005,2025-03-05 22:53:00,bet,2800,sports_basketball,win,P00005_S16
P00005,2025-03-13 17:25:29,bet,2700,sports_basketball,loss,P00005_S22
P00005,2025-03-18 11:57:26,bet,1000,sports_basketball,win,P00005_S25
P00005,2025-04-18 15:26:10,bet,1600,sports_basketball,loss,P00005_S34
P00005,2025-06-16 14:49:25,bet,2200,sports_basketball,loss,P00005_S52
P00006,2025-01-16 02:58:08,bet,5000,table_games,loss,P00006_S7
P00006,2025-01-26 05:41:49,bet,4400,table_games,win,P00006_S12
P00006,2025-02-05 09:24:00,deposit,63000,,,P00006_S18
P00006,2025-02-12 21:57:18,bet,2000,table_games,loss,P00006_S24
P00006,2025-02-18 00:00:33,bet,3200,table_games,loss,P00006_S28
P00006,2025-02-18 18:07:36,bet,700,table_games,win,P00006_S30
P00006,2025-02-20 19:13:56,bet,7200,table_games,loss,P00006_S33
P00006,2025-03-07 11:33:35,bet,1200,table_games,win,P00006_S50
P00006,2025-03-08 22:01:43,bet,4900,table_games,loss,P00006_S51
P00006,2025-03-09 10:06:28,bet,900,table_games,loss,P00006_S52
P00006,2025-03-14 08:35:09,bet,4000,table_games,loss,P00006_S55
P00006,2025-03-20 16:40:15,bet,3800,table_games,loss,P00006_S61
P00006,2025-03-26 12:04:14,bet,2600,table_games,loss,P00006_S63
P00006,2025-03-30 21:31:00,bet,1600,table_games,win,P00006_S68
P00006,2025-04-12 18:54:12,bet,1200,table_games,loss,P00006_S81
P00006,2025-04-24 18:56:44,bet,1700,table_games,loss,P00006_S85
P00006,2025-05-05 12:22:45,bet,1600,table_games,loss,P00006_S89
P00006,2025-05-06 05:35:40,bet,2400,table_games,win,P00006_S91
P00006,2025-05-06 05:38:30,bet,2300,table_games,win,P00006_S90
P00006,2025-05-11 14:23:21,bet,3200,table_games,loss,P00006_S95
P00006,2025-05-11 14:50:04,bet,2600,table_games,loss,P00006_S95
P00006,2025-05-12 19:37:05,bet,1100,table_games,win,P00006_S96
P00006,2025-05-12 19:39:32,bet,3400,table_games,win,P00006_S96
P00006,2025-05-21 01:26:20,bet,600,table_games,loss,P00006_S98
P00006,2025-05-22 11:15:00,bet,4300,table_games,loss,P00006_S100
P00006,2025-05-22 11:51:18,bet,3400,table_games,win,P00006_S100
P00006,2025-05-23 15:26:19,bet,1700,table_games,loss,P00006_S101
P00006,2025-05-24 17:21:51,bet,1500,table_games,win,P00006_S102
P00006,2025-05-30 14:19:00,bet,1800,table_games,win,P00006_S105
P00006,2025-06-09 15:42:38,bet,1300,table_games,loss,P00006_S115
P00006,2025-06-17 08:53:00,bet,1600,table_games,win,P00006_S121
P00006,2025-06-22 20:31:19,bet,2100,table_games,loss,P00006_S126
P00006,2025-06-29 17:56:13,bet,2000,table_games,win,P00006_S130
P00007,2025-04-27 22:20:00,bet,8700,casino_live,win,P00007_S5
P00009,2025-01-07 10:09:00,bet,600,casino_slots,loss,P00009_S3
P00009,2025-01-30 10:04:00,withdrawal,7000,,,P00009_S7
P00009,2025-06-12 18:37:35,bet,300,casino_slots,loss,P00009_S50
P00010,2025-01-06 10:41:30,bet,2400,casino_live,win,P00010_S4
P00010,2025-01-06 10:56:12,bet,1700,casino_live,loss,P00010_S4
P00010,2025-01-08 19:41:34,bet,1800,casino_live,loss,P00010_S6
P00010,2025-01-11 18:49:32,bet,2500,casino_live,loss,P00010_S9
P00010,2025-01-22 14:03:16,bet,6000,casino_live,loss,P00010_S20
P00010,2025-01-26 15:49:47,bet,1600,casino_live,win,P00010_S22
P00010,2025-02-04 23:36:49,bet,2700,casino_live,win,P00010_S30
P00010,2025-02-11 00:01:57,bet,3200,casino_live,win,P00010_S35
P00010,2025-02-12 23:31:40,bet,2400,casino_live,win,P00010_S37
P00010,2025-02-22 14:44:26,bet,5700,casino_live,win,P00010_S50
P00010,2025-02-25 22:26:03,bet,2000,casino_live,win,P00010_S52
P00010,2025-03-08 13:07:05,bet,1500,casino_live,loss,P00010_S60
P00010,2025-03-10 14:09:51,bet,2000,casino_live,win,P00010_S63
P00010,2025-03-18 11:08:59,bet,1800,casino_live,loss,P00010_S76
P00010,2025-03-25 20:50:18,bet,3000,casino_live,loss,P00010_S80
P00010,2025-03-27 15:20:13,bet,2200,casino_live,loss,P00010_S82
P00010,2025-04-06 20:20:00,bet,1600,casino_live,loss,P00010_S90
P00010,2025-04-10 02:53:32,bet,2900,casino_live,win,P00010_S93
P00010,2025-04-18 10:18:35,bet,1700,casino_live,loss,P00010_S105
P00010,2025-05-05 06:31:01,bet,8300,casino_live,loss,P00010_S121
P00010,2025-05-25 17:55:02,bet,6900,casino_live,win,P00010_S136
P00010,2025-06-08 18:42:37,bet,1200,casino_live,win,P00010_S149
P00010,2025-06-15 21:21:10,bet,3600,casino_live,win,P00010_S154
P00010,2025-06-19 04:17:23,bet,3000,casino_live,loss,P00010_S158
P00010,2025-06-25 17:08:18,bet,4200,casino_live,loss,P00010_S167
